Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"RTN4","Reticulon 4","Protein Coding","44","GC02M054934","2.70848941802979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4"
"GZMM","Granzyme M","Protein Coding","40","GC19P000544","2.70420455932617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMM"
"ATP8A1","ATPase Phospholipid Transporting 8A1","Protein Coding","42","GC04M042410","2.70269584655762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP8A1"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","38","GC06M131948","2.70267629623413","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"RPS6KA3","Ribosomal Protein S6 Kinase A3","Protein Coding","51","GC0XM020149","2.70139527320862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA3"
"RUVBL2","RuvB Like AAA ATPase 2","Protein Coding","44","GC19P048993","2.69865298271179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL2"
"MAPK13","Mitogen-Activated Protein Kinase 13","Protein Coding","45","GC06P077004","2.69747352600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13"
"CERKL","Ceramide Kinase Like","Protein Coding","40","GC02M181536","2.69658732414246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERKL"
"SHH","Sonic Hedgehog Signaling Molecule","Protein Coding","49","GC07M155799","2.69583463668823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH"
"SFPQ","Splicing Factor Proline And Glutamine Rich","Protein Coding","43","GC01M035176","2.68833231925964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFPQ"
"ASAH1","N-Acylsphingosine Amidohydrolase 1","Protein Coding","46","GC08M018055","2.68537330627441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1"
"EZR","Ezrin","Protein Coding","44","GC06M158765","2.68426132202148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZR"
"CCR8","C-C Motif Chemokine Receptor 8","Protein Coding","42","GC03P039757","2.68116593360901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR8"
"PRDX1","Peroxiredoxin 1","Protein Coding","47","GC01M045511","2.67965173721313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX1"
"FOXA1","Forkhead Box A1","Protein Coding","42","GC14M037589","2.67705965042114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA1"
"CD14","CD14 Molecule","Protein Coding","45","GC05M140631","2.67321157455444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14"
"SRSF2","Serine And Arginine Rich Splicing Factor 2","Protein Coding","40","GC17M076734","2.67041635513306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF2"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","50","GC02M029190","2.66995763778687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","50","GC10P073909","2.66957378387451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"RB1CC1","RB1 Inducible Coiled-Coil 1","Protein Coding","41","GC08M052622","2.6695716381073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1CC1"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","46","GC17M044905","2.66501617431641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"ID3","Inhibitor Of DNA Binding 3, HLH Protein","Protein Coding","41","GC01M023557","2.66357040405273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID3"
"DNASE2","Deoxyribonuclease 2, Lysosomal","Protein Coding","39","GC19M012875","2.66003203392029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE2"
"TFDP1","Transcription Factor Dp-1","Protein Coding","44","GC13P113584","2.65973305702209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFDP1"
"RHEB","Ras Homolog, MTORC1 Binding","Protein Coding","47","GC07M151466","2.65953779220581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHEB"
"PHLPP2","PH Domain And Leucine Rich Repeat Protein Phosphatase 2","Protein Coding","40","GC16M071637","2.65753483772278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP2"
"NME1","NME/NM23 Nucleoside Diphosphate Kinase 1","Protein Coding","45","GC17P051161","2.65712594985962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME1"
"RASSF5","Ras Association Domain Family Member 5","Protein Coding","39","GC01P206507","2.6485698223114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF5"
"ARRB2","Arrestin Beta 2","Protein Coding","45","GC17P004711","2.64823365211487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2"
"XDH","Xanthine Dehydrogenase","Protein Coding","46","GC02M031334","2.64512014389038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH"
"ITGAV","Integrin Subunit Alpha V","Protein Coding","46","GC02P186589","2.64392185211182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
"PRODH","Proline Dehydrogenase 1","Protein Coding","45","GC22M018912","2.63892316818237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH"
"UNC5C","Unc-5 Netrin Receptor C","Protein Coding","41","GC04M095162","2.63840985298157","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5C"
"CCNG1","Cyclin G1","Protein Coding","40","GC05P163438","2.63791990280151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNG1"
"DDX5","DEAD-Box Helicase 5","Protein Coding","45","GC17M064498","2.63729858398438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX5"
"PPP5C","Protein Phosphatase 5 Catalytic Subunit","Protein Coding","44","GC19P052069","2.6365282535553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP5C"
"ADK","Adenosine Kinase","Protein Coding","49","GC10P074152","2.63301372528076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADK"
"CAMK2G","Calcium/Calmodulin Dependent Protein Kinase II Gamma","Protein Coding","48","GC10M073812","2.63080430030823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G"
"MMP7","Matrix Metallopeptidase 7","Protein Coding","47","GC11M102425","2.62941074371338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP7"
"MIR139","MicroRNA 139","RNA Gene","21","GC11M072615","2.62881565093994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139"
"IL7R","Interleukin 7 Receptor","Protein Coding","45","GC05P035852","2.62835335731506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"CCR7","C-C Motif Chemokine Receptor 7","Protein Coding","44","GC17M041052","2.62824010848999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"CSRNP1","Cysteine And Serine Rich Nuclear Protein 1","Protein Coding","32","GC03M039159","2.6275577545166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRNP1"
"MIR125B1","MicroRNA 125b-1","RNA Gene","22","GC11M122100","2.62565445899963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1"
"AREG","Amphiregulin","Protein Coding","42","GC04P074445","2.62445783615112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG"
"ELK1","ETS Transcription Factor ELK1","Protein Coding","42","GC0XM047635","2.62245845794678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK1"
"EIF3F","Eukaryotic Translation Initiation Factor 3 Subunit F","Protein Coding","41","GC11P007966","2.62221765518188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3F"
"MIR17","MicroRNA 17","RNA Gene","21","GC13P091350","2.62189435958862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","46","GC02M214725","2.62146329879761","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"MAPKAPK2","MAPK Activated Protein Kinase 2","Protein Coding","47","GC01P206684","2.62108540534973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK2"
"CERK","Ceramide Kinase","Protein Coding","40","GC22M046684","2.62104082107544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERK"
"TMBIM1","Transmembrane BAX Inhibitor Motif Containing 1","Protein Coding","36","GC02M218274","2.61828804016113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMBIM1"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","43","GC17M078852","2.61628913879395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"APBB1","Amyloid Beta Precursor Protein Binding Family B Member 1","Protein Coding","44","GC11M006396","2.61518526077271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB1"
"MIR203A","MicroRNA 203a","RNA Gene","21","GC14P108823","2.61474251747131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"EIF4EBP1","Eukaryotic Translation Initiation Factor 4E Binding Protein 1","Protein Coding","45","GC08P038359","2.61303019523621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4EBP1"
"KAT2B","Lysine Acetyltransferase 2B","Protein Coding","46","GC03P020043","2.61247706413269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT2B"
"LOC107133510","Origin Of Replication At HBB","Biological Region","2","GC11P005222","2.61065316200256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107133510"
"LOC110006319","Beta-Globin Gene 3' Regulatory Region","Biological Region","2","GC11P005223","2.61065316200256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110006319"
"LOC106099062","HBB Recombination Region","Biological Region","2","GC11P005326","2.61065316200256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106099062"
"FL1","Follicular Lymphoma, Susceptibility To, 1","Genetic Locus","1","GC06U901764","2.61065316200256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FL1"
"TOLLIP","Toll Interacting Protein","Protein Coding","43","GC11M001274","2.6078507900238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOLLIP"
"FGFR4","Fibroblast Growth Factor Receptor 4","Protein Coding","50","GC05P177086","2.6032383441925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR4"
"ING5","Inhibitor Of Growth Family Member 5","Protein Coding","38","GC02P241702","2.60256361961365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ING5"
"MIR29B1","MicroRNA 29b-1","RNA Gene","21","GC07M130877","2.58956098556519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1"
"CHI3L1","Chitinase 3 Like 1","Protein Coding","44","GC01M203148","2.58677744865417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1"
"IL17A","Interleukin 17A","Protein Coding","41","GC06P052186","2.58479142189026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"WWTR1","WW Domain Containing Transcription Regulator 1","Protein Coding","40","GC03M149517","2.58170819282532","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWTR1"
"XPO1","Exportin 1","Protein Coding","46","GC02M061445","2.58129405975342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO1"
"RTN3","Reticulon 3","Protein Coding","41","GC11P063700","2.5802104473114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN3"
"ITIH4","Inter-Alpha-Trypsin Inhibitor Heavy Chain 4","Protein Coding","42","GC03M052812","2.5783257484436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH4"
"MCM2","Minichromosome Maintenance Complex Component 2","Protein Coding","46","GC03P127598","2.57675218582153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM2"
"TTF2","Transcription Termination Factor 2","Protein Coding","40","GC01P117060","2.57609748840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTF2"
"BSG","Basigin (Ok Blood Group)","Protein Coding","43","GC19P000571","2.57405972480774","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","46","GC07M106248","2.57299542427063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"CRYAB","Crystallin Alpha B","Protein Coding","44","GC11M111908","2.5691933631897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAB"
"E2F2","E2F Transcription Factor 2","Protein Coding","41","GC01M023624","2.56872224807739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F2"
"SNAI2","Snail Family Transcriptional Repressor 2","Protein Coding","42","GC08M048917","2.56506562232971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI2"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","47","GC11M000612","2.56501507759094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"CYP2E1","Cytochrome P450 Family 2 Subfamily E Member 1","Protein Coding","45","GC10P133520","2.56177520751953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1"
"MTCH1","Mitochondrial Carrier 1","Protein Coding","37","GC06M061450","2.56097149848938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTCH1"
"MUC4","Mucin 4, Cell Surface Associated","Protein Coding","40","GC03M195746","2.56044721603394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC4"
"WNT1","Wnt Family Member 1","Protein Coding","45","GC12P049230","2.56007194519043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1"
"EBAG9","Estrogen Receptor Binding Site Associated Antigen 9","Protein Coding","37","GC08P109536","2.55915451049805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBAG9"
"DRAM1","DNA Damage Regulated Autophagy Modulator 1","Protein Coding","31","GC12P101877","2.5554211139679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAM1"
"CD247","CD247 Molecule","Protein Coding","48","GC01M167399","2.55482339859009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD247"
"COL4A2","Collagen Type IV Alpha 2 Chain","Protein Coding","45","GC13P110305","2.55360174179077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A2"
"P2RX1","Purinergic Receptor P2X 1","Protein Coding","43","GC17M003896","2.55123448371887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX1"
"PSEN2","Presenilin 2","Protein Coding","48","GC01P226870","2.55109977722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN2"
"PRDX2","Peroxiredoxin 2","Protein Coding","45","GC19M012796","2.54841232299805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX2"
"MIR205","MicroRNA 205","RNA Gene","21","GC01P209432","2.54704856872559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"LYRM1","LYR Motif Containing 1","Protein Coding","34","GC16P020911","2.54687786102295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYRM1"
"PLEKHO1","Pleckstrin Homology Domain Containing O1","Protein Coding","33","GC01P150150","2.54493260383606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHO1"
"CYP1B1","Cytochrome P450 Family 1 Subfamily B Member 1","Protein Coding","48","GC02M038066","2.54346895217896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","43","GC03M010285","2.54162693023682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"MKRN1","Makorin Ring Finger Protein 1","Protein Coding","40","GC07M140453","2.54100203514099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKRN1"
"GPX1","Glutathione Peroxidase 1","Protein Coding","46","GC03M050895","2.54092931747437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1"
"ARF1","ADP Ribosylation Factor 1","Protein Coding","45","GC01P228082","2.53802537918091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF1"
"TKT","Transketolase","Protein Coding","45","GC03M053224","2.53778767585754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TKT"
"GNRH1","Gonadotropin Releasing Hormone 1","Protein Coding","40","GC08M025419","2.53475046157837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","46","GC11P112961","2.53369212150574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"PPP3CA","Protein Phosphatase 3 Catalytic Subunit Alpha","Protein Coding","51","GC04M101024","2.53324437141418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP3CA"
"NEDD9","Neural Precursor Cell Expressed, Developmentally Down-Regulated 9","Protein Coding","42","GC06M011183","2.53150153160095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD9"
"CTNNA1","Catenin Alpha 1","Protein Coding","46","GC05P138613","2.53093862533569","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","49","GC07P101127","2.52748036384583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"COL5A1","Collagen Type V Alpha 1 Chain","Protein Coding","46","GC09P134641","2.5246365070343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A1"
"ACVR1C","Activin A Receptor Type 1C","Protein Coding","41","GC02M157526","2.52393507957458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1C"
"PAK6","P21 (RAC1) Activated Kinase 6","Protein Coding","44","GC15P040217","2.52390170097351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK6"
"TRIB3","Tribbles Pseudokinase 3","Protein Coding","42","GC20P000361","2.52314686775208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIB3"
"KLF6","Kruppel Like Factor 6","Protein Coding","42","GC10M003779","2.51831007003784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF6"
"HCK","HCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","48","GC20P032052","2.51765131950378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCK"
"HELLS","Helicase, Lymphoid Specific","Protein Coding","45","GC10P094501","2.51386976242065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HELLS"
"ARRB1","Arrestin Beta 1","Protein Coding","43","GC11M085031","2.51203751564026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB1"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","48","GC17P049488","2.51047110557556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"RHBDD3","Rhomboid Domain Containing 3","Protein Coding","34","GC22M029259","2.50747919082642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDD3"
"TAT","Tyrosine Aminotransferase","Protein Coding","44","GC16M071565","2.505699634552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT"
"C6orf120","Chromosome 6 Open Reading Frame 120","Protein Coding","31","GC06P169702","2.50230741500854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C6orf120"
"LRBA","LPS Responsive Beige-Like Anchor Protein","Protein Coding","41","GC04M150264","2.50160384178162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRBA"
"MDC1","Mediator Of DNA Damage Checkpoint 1","Protein Coding","41","GC06M061228","2.50151348114014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDC1"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","14","GC08P127400","2.50090670585632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"NOP53","NOP53 Ribosome Biogenesis Factor","Protein Coding","29","GC19P052154","2.49992156028748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP53"
"ANXA2","Annexin A2","Protein Coding","47","GC15M060347","2.49957418441772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2"
"MIR206","MicroRNA 206","RNA Gene","22","GC06P052144","2.49957418441772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR206"
"GFER","Growth Factor, Augmenter Of Liver Regeneration","Protein Coding","45","GC16P001984","2.498854637146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER"
"GADD45G","Growth Arrest And DNA Damage Inducible Gamma","Protein Coding","38","GC09P089605","2.49781608581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45G"
"CALM1","Calmodulin 1","Protein Coding","44","GC14P090396","2.49724841117859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1"
"FASTKD2","FAST Kinase Domains 2","Protein Coding","38","GC02P206766","2.49392342567444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTKD2"
"RAD51","RAD51 Recombinase","Protein Coding","51","GC15P040694","2.49363589286804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","16","GC05M142318","2.49018907546997","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"MIR140","MicroRNA 140","RNA Gene","24","GC16P069934","2.48884296417236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","45","GC01M094570","2.48883008956909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"EGLN3","Egl-9 Family Hypoxia Inducible Factor 3","Protein Coding","45","GC14M033924","2.48448514938354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN3"
"NGB","Neuroglobin","Protein Coding","37","GC14M077265","2.48351907730103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGB"
"PAX3","Paired Box 3","Protein Coding","46","GC02M222199","2.48311710357666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX3"
"PSMD2","Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 2","Protein Coding","42","GC03P184298","2.48200011253357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD2"
"IFNA2","Interferon Alpha 2","Protein Coding","42","GC09M021384","2.47980785369873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"MIR223","MicroRNA 223","RNA Gene","22","GC0XP066018","2.4768385887146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","45","GC04M023755","2.47588801383972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"SIX1","SIX Homeobox 1","Protein Coding","42","GC14M060643","2.47502708435059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIX1"
"ANGPT1","Angiopoietin 1","Protein Coding","45","GC08M107246","2.47486734390259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"PEBP4","Phosphatidylethanolamine Binding Protein 4","Protein Coding","36","GC08M022713","2.4729630947113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEBP4"
"DCAF1","DDB1 And CUL4 Associated Factor 1","Protein Coding","30","GC03M051395","2.47136974334717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF1"
"SOS1","SOS Ras/Rac Guanine Nucleotide Exchange Factor 1","Protein Coding","47","GC02M039016","2.46943044662476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOS1"
"HLA-G","Major Histocompatibility Complex, Class I, G","Protein Coding","44","GC06P076812","2.46909952163696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-G"
"DCK","Deoxycytidine Kinase","Protein Coding","43","GC04P070992","2.46784257888794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCK"
"PUF60","Poly(U) Binding Splicing Factor 60","Protein Coding","41","GC08M143816","2.46771240234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUF60"
"NUP107","Nucleoporin 107","Protein Coding","42","GC12P068686","2.46647620201111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP107"
"USP10","Ubiquitin Specific Peptidase 10","Protein Coding","43","GC16P084702","2.46640801429749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP10"
"MRPL41","Mitochondrial Ribosomal Protein L41","Protein Coding","34","GC09P137551","2.46552872657776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL41"
"MTRNR2L12","MT-RNR2 Like 12 (Pseudogene)","Pseudogene","12","GC03M096617","2.46429538726807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTRNR2L12"
"PPID","Peptidylprolyl Isomerase D","Protein Coding","42","GC04M158709","2.46418619155884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPID"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","52","GC01M042925","2.46344876289368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"TUBB3","Tubulin Beta 3 Class III","Protein Coding","47","GC16P091061","2.46198153495789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB3"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","46","GC06M061261","2.46194219589233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"HOXA5","Homeobox A5","Protein Coding","41","GC07M027482","2.46193861961365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA5"
"ARNT","Aryl Hydrocarbon Receptor Nuclear Translocator","Protein Coding","44","GC01M150809","2.46024465560913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNT"
"NBN","Nibrin","Protein Coding","46","GC08M089933","2.45899534225464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"ALOX15","Arachidonate 15-Lipoxygenase","Protein Coding","45","GC17M004630","2.45824527740479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX15"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","44","GC06P167111","2.45113563537598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"MELK","Maternal Embryonic Leucine Zipper Kinase","Protein Coding","46","GC09P036572","2.44998455047607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MELK"
"RUVBL1","RuvB Like AAA ATPase 1","Protein Coding","42","GC03M128064","2.44911074638367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL1"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","48","GC01M155185","2.44584536552429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"KL","Klotho","Protein Coding","45","GC13P033016","2.44537401199341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL"
"CNR1","Cannabinoid Receptor 1","Protein Coding","46","GC06M088139","2.44519090652466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"STYXL1","Serine/Threonine/Tyrosine Interacting Like 1","Protein Coding","33","GC07M075995","2.44415140151978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STYXL1"
"KNG1","Kininogen 1","Protein Coding","46","GC03P186717","2.44409990310669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"LTF","Lactotransferrin","Protein Coding","44","GC03M046435","2.44319581985474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF"
"HIPK3","Homeodomain Interacting Protein Kinase 3","Protein Coding","41","GC11P033301","2.43893003463745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIPK3"
"GRINA","Glutamate Ionotropic Receptor NMDA Type Subunit Associated Protein 1","Protein Coding","34","GC08P143990","2.43700695037842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRINA"
"IRF5","Interferon Regulatory Factor 5","Protein Coding","46","GC07P128937","2.43673467636108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5"
"WDR35","WD Repeat Domain 35","Protein Coding","38","GC02M019910","2.43668556213379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR35"
